"island","habitat","status","cover_mean","rugosity_mean","coral_prod_mean","cca_prod_mean","cca_site_mean","gross_prod_mean","macro_ero_mean","micro_ero_mean","urchin_ero_mean","parrot_ero_mean","gross_ero_mean","net_prod_mean","coral_prod_2.0_mean","gross_prod_2.0_mean","net_prod_2.0_mean","competitive_mean","generalist_mean","comp_2.7_mean","gen_1.6_mean","coral_prod_taxa_mean","gross_prod_taxa_mean","net_prod_taxa_mean","cover_sd","rugosity_sd","coral_prod_sd","cca_prod_sd","cca_site_sd","gross_prod_sd","macro_ero_sd","micro_ero_sd","urchin_ero_sd","parrot_ero_sd","gross_ero_sd","net_prod_sd","coral_prod_2.0_sd","gross_prod_2.0_sd","net_prod_2.0_sd","competitive_sd","generalist_sd","comp_2.7_sd","gen_1.6_sd","coral_prod_taxa_sd","gross_prod_taxa_sd","net_prod_taxa_sd"
"Ile de la Passe","lagoon","high",47.706,1.87625,6.89375,0.23425,0.17275,7.1285,0.0825,0.34925,0,1.356,1.78775,5.34075,13.7875,13.96025,12.17275,5.85125,0.8955,15.7985,1.43225,17.231,17.40325,15.61625,13.8122204104433,0.089190339536671,2.18924756861043,0.034393555597912,0.0251445819213603,2.15920193590132,0.0246914290122436,0.0165806111668619,0,0,0.0347215111038292,2.18357281765459,4.37849513722085,4.35636663401968,4.38036120086004,2.13906527483385,0.664006275070751,5.77537285953614,1.06263583445443,5.54106698509712,5.5168392143207,5.5441948243185
"Ile de la Passe","shallow","high",29.00975,1.4205,4.3395,0.448,0.3305,4.78775,0.07775,0.26425,0.19925,1.656,2.19775,2.59025,8.67975,9.0095,6.81225,1.048,3.26625,2.82975,5.22575,8.0555,8.386,6.18825,6.90536406836502,0.18342755154738,1.82740407865,0.0253902868567227,0.0188414436814168,1.8080963055103,0.00275378527364305,0.0322942203291342,0.150865005882743,0,0.163960106936616,1.70897305908158,3.65487905636653,3.64053819281344,3.53908023597469,0.32909167922227,1.64942239890211,0.888247853923667,2.63865323918598,3.17565452571067,3.16249901185755,3.07130356417814
"Ile de la Passe","deep","high",41.6665,1.85325,9.524,0.306,0.22525,9.8295,0.064,0.56375,0,1.804,2.43125,7.39825,9.524,9.749,7.31775,6.75275,2.77125,18.2325,2.77125,18.2325,9.749,7.31775,3.30128848582893,0.0797804278420883,0.563645869910059,0.0207685659912603,0.015585784121008,0.551174201137898,0.00258198889747161,0.0306960909563416,0,0,0.0311167157650034,0.536378830678467,0.563645869910059,0.554488953902601,0.539495674990387,0.481548457236306,0.747290829151097,1.30086394369281,0.747290829151097,1.30086394369281,0.554488953902601,0.539495674990387
"Ile Anglaise","lagoon","low",41.55775,2.13925,8.39375,0.20825,0.25575,8.402,0.08875,0.37725,0,0.747,1.21225,7.1895,8.39375,8.4495,7.437,4.72925,3.66425,4.72925,3.66425,8.39375,8.6495,7.437,4.96881068097118,0.476220799629752,1.39953167762172,0.080466866887351,0.0985473659380774,1.49439329941396,0.0183552898823927,0.068461059491266,0,0,0.0851718850325622,1.44975273753837,1.39953167762172,1.5082065508411,1.43172529953666,1.90225784705088,2.7427141514687,1.90225784705088,2.7427141514687,1.39953167762172,1.48208872878786,1.43172529953666
"Ile Anglaise","shallow","low",36.98725,1.66925,7.42325,0.48675,0.59775,7.91,0.082,0.31,0.00225,4.389,4.78275,3.12725,7.42325,8.021,3.23825,2.3445,5.07875,2.3445,5.07875,7.42325,8.021,3.23825,12.8985641933511,0.146431724704724,2.64408539637685,0.0579734134467401,0.0716583328487809,2.5962169914448,0.013735598518691,0.0305723186341283,0.00262995563967658,0,0.0321493908703311,2.58911276630947,2.64408539637685,2.58546282123723,2.57851021263571,1.09019218489219,1.98191260739048,1.09019218489219,1.98191260739048,2.64408539637685,2.58546282123723,2.57851021263571
"Ile Anglaise","deep","low",48.282,1.864,10.72625,0.32025,0.39375,11.047,0.058,0.57675,0,3.643,4.27775,6.769,10.72625,11.11975,6.842,8.14225,2.58425,8.14225,2.58425,8.14225,11.11975,6.842,7.92111486261036,0.129377999160084,2.66431509335264,0.102460968178131,0.125760022794739,2.58483590710642,0.00716472842006823,0.0388876587107015,0,0,0.0345964834436491,2.55526136954063,2.66431509335264,2.56668468067272,2.5367121765519,2.38333944637911,0.377019340794784,2.38333944637911,0.377019340794784,2.38333944637911,2.56668468067272,2.5367121765519
"Grande Coquillage","lagoon","high",17.84625,1.56,3.888,0.4625,0.3405,4.35,0.09825,0.288,0.049,3.045,3.48,0.87,7.7755,8.11625,4.636,0.903,2.985,2.4375,4.776,7.21375,7.55425,4.074,7.45745096642725,0.059380131357214,1.69867320773204,0.0695389579061023,0.0510457311306897,1.66532539362933,0.0105,0.0120554275466834,0.0299443929086343,0,0.0283313724811676,1.68951768265384,3.39746459387977,3.37231239903225,3.39642998848301,0.358782199484125,1.70749816983797,0.969002407977744,2.73163943447886,2.77813935035664,2.75438830172267,2.77630966092281
"Grande Coquillage","shallow","high",11.832,1.389,1.48125,0.2805,0.20675,1.7615,0.09125,0.24525,0.16225,0.387,0.8855,0.87575,2.962,3.16875,2.28325,0.48725,0.99375,1.3155,1.59,2.90575,3.11225,2.22675,3.75972631982702,0.0798415096717657,0.432549322813788,0.0814964211893177,0.0600909033603812,0.449646898502962,0.00713559154286922,0.00895823643358447,0.12281795471347,0,0.110437010704443,0.469817961200577,0.86453956917348,0.874002812733842,0.880166414189196,0.278380285460974,0.448467297209804,0.75274807649483,0.717311647751519,0.827225231320548,0.856769270768585,0.891782998641859
"Grande Coquillage","deep","high",37.75675,1.579,6.10825,0.15,0.1105,6.25825,0.05575,0.4825,0.0045,2.327,2.86975,3.3885,6.10825,6.21875,3.349,3.15225,2.956,8.511,2.956,8.511,6.21875,3.349,10.32675161494,0.0930841912822293,1.53980612957173,0.0322903494354996,0.0238676908532574,1.51360571153785,0.0122848144742469,0.0239095517872391,0.00351188458428425,0,0.0333004003979931,1.52316829886479,1.53980612957173,1.52043510768025,1.53002810431704,1.28414936176962,1.1735280141522,3.46742123198206,1.1735280141522,3.46742123198206,1.52043510768025,1.53002810431704
"Ile Poule","lagoon","low",18.5665,1.56325,3.36525,0.371,0.4555,3.73575,0.10175,0.29225,0.025,1.034,1.45275,2.283,3.36525,3.8205,2.36725,1.611,1.73775,1.611,1.73775,3.349,3.80425,2.351,3.21627636664928,0.0992618590731943,0.855792566377312,0.125139921687685,0.15386032627029,0.966966864306459,0.0125797456254091,0.0191027921170353,0.0427940805875454,0,0.0267004993711105,0.979202056098059,0.855792566377312,0.992683064561226,1.0042580594648,0.793579233599267,1.22114546635526,0.793579233599267,1.22114546635526,0.823948622993772,0.960465642279827,0.972151222804354
