date,atoll,island,habitat,status,depth,COR,CCA,SP,SOC,MAC,TF,RUB,SD,OTH,ACRA,ACRO,ACRT,POCB,HCB,PORM,HCM,PORE,HCE,FUN,OTHC
20/10/2023,Salomon,Ile de la passe,lagoon,high,1.2,47.70597238,21.91058106,0.114213198,0.184113624,8.449706827,19.04640599,0.875634518,0.399269221,0.595456433,0,41.47022301,0,0,0,1.452089426,1.837436806,0.152284264,1.184626837,0,1.609312035
18/10/2023,Salomon,Ile de la passe,shallow,high,2.5,29.00954243,56.27439279,0,1.194035751,0,7.106471818,0.579811401,0.526102193,4.851706034,0,2.872817011,0,3.135631182,0,2.586206897,1.811397941,3.6933033,10.90642222,0,4.003763877
21/10/2023,Salomon,Ile de la passe,deep,high,9.5,41.6666059,29.04501315,0.459686415,0.842346858,2.359137249,11.18248151,10.06519185,2.787479231,2.051744256,0,4.06110497,15.62517822,5.704208939,0,3.189428852,2.212537576,1.69940479,7.848053038,0.639459751,0.687229768
17/10/2023,Salomon,Ile Anglaise,lagoon,low,1.5,41.55749813,17.09252128,0,2.696498716,7.894237955,18.05962181,2.952618736,5.145261121,2.369850064,0,26.32649904,1.859799714,0,0,0.339003644,4.784498096,0.044706724,2.897878842,0.226649683,5.078462388
18/10/2023,Salomon,Ile Anglaise,shallow,low,2,36.98703875,51.5826209,0.326215896,3.420693,1.035215971,4.241404404,0.812298099,0.709939148,1.020157915,0.081699346,9.112838047,0,3.512918192,0,3.053595603,2.665635883,0.86414798,11.12984803,0.138982796,6.427372873
21/10/2023,Salomon,Ile Anglaise,deep,low,8.5,48.28180004,30.56449891,0.656581446,0.393632069,1.21573664,9.622620048,5.973723575,1.110735844,2.196165067,0.38064833,8.972628422,21.60845317,2.407059237,0,3.162951821,4.349511934,0.278802898,6.322202851,0.106157113,0.693384264
22/10/2023,Peros Banhos,Grande Coquillage,lagoon,high,1.5,17.84626714,52.16422488,2.792781669,1.061367077,3.58402746,10.86071698,9.58263358,1.319218738,3.581544143,0,3.915551287,0,0.939606845,0.291411043,2.114137215,2.371729511,0.078813486,5.052266146,0,3.082751608
23/10/2023,Peros Banhos,Grande Coquillage,shallow,high,3,11.832056,35.10918391,0,0.580354374,2.314181177,38.60372272,0.672678817,5.492767203,5.395055795,0,0.913652459,0,1.879723606,0,4.874043416,0.714182495,1.189247368,2.161605062,0,0.099601594
23/10/2023,Peros Banhos,Grande Coquillage,deep,high,9,37.75666403,16.69619203,1.464636847,0.383652958,2.028385545,28.0581118,7.929797856,2.318799653,4.517257361,0,5.298528902,4.016543919,5.384934363,0,15.90899438,0.987616817,1.060225902,4.020969638,0,1.078850107
24/10/2023,Peros Banhos,Ile Poule,lagoon,low,2,18.56649903,42.5837325,1.466127156,0.229222113,3.136771506,19.31003954,13.00907896,0.088028169,3.761254544,0,0.082020997,0,0,11.07088698,0.845825892,0.521689696,1.529900716,1.945721114,0.32808399,2.242369646
25/10/2023,Peros Banhos,Ile Poule,shallow,low,2,15.8383087,38.74453102,0,0.370251532,0,40.02675188,1.470206954,0.029411765,3.520538151,0,0.362950058,0,0.404919006,8.02800462,0,0.084127874,0.424439099,6.533868042,0,0
25/10/2023,Peros Banhos,Ile Poule,deep,low,9,28.84901989,21.81507436,1.129915108,0.048324742,1.444240162,31.990947,11.10458595,4.685667668,3.042165998,0,4.044969152,0.06443299,3.225244653,0.764006791,11.61261834,2.598573139,1.480502466,4.865373387,0,0.193298969
28/10/2023,Great Chagos Bank,Middle Brother,lagoon,high,1.5,16.24207215,11.64066594,2.847239431,3.39697361,3.827631587,13.7110772,33.32139564,19.65583371,0.439644275,0,2.162597924,0,1.525866927,4.566296877,6.023322556,0.558907683,0,0.457297638,0,0.947782546
29/10/2023,Great Chagos Bank,Middle Brother,shallow,high,3,36.91643,18.75191829,0,1.578090766,0.244321754,40.43419813,0.280182414,0.169187289,1.625671353,0.563909774,10.36189297,0,0.048169557,2.640549389,2.76374544,2.37485679,6.998726618,8.962470535,0,2.202108924
29/10/2023,Great Chagos Bank,Middle Brother,deep,high,8.5,32.42118025,15.59338502,0.965231495,0.243884289,1.00860917,34.78765807,11.11127841,1.834265794,2.999738992,0.588940158,6.146720799,0.025278059,4.690314885,0,10.01211465,1.797339841,1.173042585,5.929002432,0.273684794,1.784742053
30/10/2023,Great Chagos Bank,Eagle,lagoon,low,1.2,20.31863511,25.20439848,0.715684695,0.069735007,0.715684695,26.21559562,21.1514878,5.311396127,1.013067158,0,0,0,2.47043213,0.874932474,9.311500257,1.383040779,0.326496002,4.161035775,0,1.791197695
31/10/2023,Great Chagos Bank,Eagle,shallow,low,2.5,14.23604512,3.521983905,0,0,1.078842756,69.14558193,0.861993284,9.749236591,1.406316415,0,4.856724502,0,4.7596822,0,0,0.730686786,0.463220243,3.425731391,0,0
31/10/2023,Great Chagos Bank,Eagle,deep,low,8.5,39.10842341,6.1695974,1.418302861,0,3.02031102,37.27790775,7.096834405,4.068137679,3.21836797,2.001995008,9.589829674,1.286233962,1.625748102,0.053418803,8.113166096,5.505347259,3.019875683,7.224065974,0.093214019,0.595528825
